Index,Question,Prediction,Eval,Solution
830,2 3 3 9,(9 - 3) * (3 + 2) = 24,False,( 2 + 3 ) * 3 + 9 = 24
652,4 5 9 10,(9 - 5) * (10 - 4) = 24,True,( 10 - 4 ) * ( 9 - 5 ) = 24
1238,3 3 7 8,(8 * 3) - 3 - 7 = 24,False,3 * 3 + 7 + 8 = 24
416,5 5 6 6,(6 - 5) * (6 + 5) = 24,False,( 5 + 5 - 6 ) * 6 = 24
825,1 9 11 13,(13 - 9) * (11 - 1) = 24,False,( 1 - 13 ) * ( 9 - 11 ) = 24
755,1 2 6 11,(11 - 1) * 2 + 6 = 24,False,1 + 11 + 2 * 6 = 24
213,3 3 3 12,(12 - 3) * (3 - 3) = 24,False,12 + 3 + 3 * 3 = 24
423,8 8 9 11,(11 - 9) * 8 / 8 = 24,False,( 11 - 9 ) * 8 + 8 = 24
891,2 6 12 12,(12 / (12 - 6)) * 2 = 24,False,12 + 12 / 2 + 6 = 24
1239,3 5 7 11,(11 - 7) * 3 - 5 = 24,False,( 11 - 5 ) * ( 7 - 3 ) = 24
1271,3 4 5 11,(11 - 5) * (4 + 3) = 24,False,11 * 3 - ( 4 + 5 ) = 24
118,1 2 2 12,(12 / (2 - 1)) * 2,True,( 1 + 12 ) * 2 - 2 = 24
774,1 2 4 5,(5 * 4) - (2 * 1) = 24,False,( 2 - 1 + 5 ) * 4 = 24
807,2 5 8 9,(9 - 5) * (8 - 2) = 24,True,2 + 5 + 8 + 9 = 24
709,2 9 10 13,(10 - 9 + 13) * 2 = 24,False,10 * 2 + 13 - 9 = 24
567,4 8 10 11,(11 - 10) * 4 + 8 = 24,False,( 10 - 11 + 4 ) * 8 = 24
441,2 6 10 10,(10 - 6) * (10 - 2) = 24,False,10 + 10 - 2 + 6 = 24
321,1 12 12 12,(12 / (12 - 1)) * 12 = 24,False,( 1 + 12 / 12 ) * 12 = 24
943,4 5 6 8,(8 / (5 - 4)) * 6 = 24,False,( 4 + 5 - 6 ) * 8 = 24
577,2 6 8 10,(6 - 2) * (10 - 8) = 24,False,( 10 + 2 - 8 ) * 6 = 24
743,2 4 7 11,(11 - 7) * (4 + 2) = 24,True,11 + 2 + 4 + 7 = 24
44,1 8 8 8,(8 * 8 / 8) + 1,False,1 * 8 + 8 + 8 = 24
481,4 5 5 8,(8 - 5) * (5 + 4) = 24,False,( 4 - 5 / 5 ) * 8 = 24
734,4 5 9 13,(13 - 9) * (5 - 4) = 24,False,13 + 4 * 5 - 9 = 24
1214,2 3 10 10,(10 - 2) * (10 / 3) = 24,False,10 + ( 10 - 3 ) * 2 = 24
452,3 8 8 12,(8 * 3) - 8 - 12 = 24,False,12 * ( 3 - 8 / 8 ) = 24
40,1 1 11 12,(12 - 11) * (1 + 1) = 24,False,1 + 1 * 11 + 12 = 24
226,1 2 13 13,(13 - 13) * 2 * 1 = 24,False,1 * 13 + 13 - 2 = 24
791,8 8 9 13,(13 - 8) * (9 - 8) = 24,False,( 13 - 9 ) * 8 - 8 = 24
459,3 4 5 12,(12 / (5 - 3)) * 4 = 24,True,12 + 3 + 4 + 5 = 24
1204,3 4 8 13,(13 - 4) * (8 - 3) = 24,False,( 13 - 4 ) / 3 * 8 = 24
1100,2 2 2 9,(9 - 2) * 2 + 2 = 24,False,2 + 2 * ( 2 + 9 ) = 24
396,2 6 7 13,(13 - 7) * 2 + 6,False,13 - 2 + 6 + 7 = 24
34,4 5 12 12,(12 / (12 - 5)) * 4 = 24,False,12 - 12 * ( 4 - 5 ) = 24
638,3 5 8 8,(8 / (3 - 5/8)) = 24,False,3 + 5 + 8 + 8 = 24
787,6 6 6 12,(6 * 6) - (12 / 6) = 24,False,12 * ( 6 + 6 ) / 6 = 24
711,3 11 12 12,(12 - 12) * (11 + 3) = 24,False,( 11 - 12 + 3 ) * 12 = 24
1032,1 4 8 9,(9 - 4) * (8 - 1),False,1 + 4 * 8 - 9 = 24
1037,4 5 5 10,(10 * 5) - (5 * 4) = 24,False,10 + 4 + 5 + 5 = 24
1153,2 2 3 4,(3 + 2) * 4 - 2,False,( 2 + 2 + 4 ) * 3 = 24
1206,2 6 9 10,(10 - 6) * (9 - 2) = 24,False,( 10 - 2 ) * ( 9 - 6 ) = 24
131,9 9 11 13,(13 - 9) * (11 - 9) = 24,False,11 + 13 + 9 - 9 = 24
23,3 7 7 8,(7 - 3) * 7 - 8 = 24,False,( 3 + 7 - 7 ) * 8 = 24
799,6 8 11 13,(13 - 11) * (8 + 6) = 24,False,6 / ( 13 - 11 ) * 8 = 24
1257,3 4 7 8,(8 - 3) * (7 - 4) = 24,False,4 * ( 7 - 3 ) + 8 = 24
566,1 4 9 12,(12 - 9) * (4 - 1) = 24,False,1 * 4 * 9 - 12 = 24
1259,3 5 10 10,(10 - 3) * (10 - 5) = 24,False,( 10 - 10 / 5 ) * 3 = 24
697,1 2 6 13,(6 / (1 - 2/13)) = 24,False,13 - 1 + 2 * 6 = 24
180,3 8 12 12,(12 / (12 - 8)) * 3,False,12 + 12 / 3 + 8 = 24
83,3 5 5 8,(5 * 5) - 3 - 8 = 24,False,( 3 + 5 - 5 ) * 8 = 24
1194,6 6 6 10,(6 + 6) * (10 / 6) = 24,False,10 * 6 - 6 * 6 = 24
669,5 5 8 8,(8 / (5 - 5/8)) = 24,False,5 * 5 - 8 / 8 = 24
168,1 1 3 13,(13 - 3) * 1 + 1,False,( 1 - 13 ) * ( 1 - 3 ) = 24
618,8 10 13 13,(13 - 10) * 8 / 13,False,13 - 10 + 13 + 8 = 24
1074,7 7 9 10,(10 - 9) * 7 - 7 = 24,False,10 - 7 * ( 7 - 9 ) = 24
657,2 7 9 10,(10 * 2) - (9 - 7) = 24,False,10 - 2 + 7 + 9 = 24
1321,3 4 6 13,(13 - 6) * (4 - 3) = 24,False,( 13 + 3 ) / 4 * 6 = 24
1089,2 5 10 13,(13 - 10) * (5 - 2) = 24,False,10 * 13 / 5 - 2 = 24
202,4 7 12 12,(12 - 7) * (12 / 4) = 24,False,( 12 + 12 * 7 ) / 4 = 24
286,2 4 5 12,(12 / (5 - 4)) * 2 = 24,True,12 - ( 2 - 5 ) * 4 = 24
1237,3 6 9 13,(9 - 6) * 3 + 13 = 24,False,( 13 + 3 ) / 6 * 9 = 24
568,2 2 2 10,(10 - 2) * 2 + 2,False,10 * 2 + 2 + 2 = 24
304,4 6 12 12,(12 - 6) * (12 / 4) = 24,False,12 - 12 + 4 * 6 = 24
98,4 6 6 6,(6 * 4) - (6 - 6) = 24,True,( 4 + 6 - 6 ) * 6 = 24
1138,2 5 9 10,(10 - 9 + 5) * 2 = 24,False,10 * 2 - 5 + 9 = 24
817,2 8 8 10,(8 - 2) * (10 - 8) = 24,False,10 - 2 + 8 + 8 = 24
653,1 3 4 13,(13 - 4) * (3 - 1) = 24,False,13 - 1 + 3 * 4 = 24
1081,5 6 10 12,(10 - 5) * (12 / 6) = 24,False,10 / 5 * 6 + 12 = 24
906,1 8 10 11,(10 - 1) * (11 - 8) = 24,False,( 1 + 11 ) * ( 10 - 8 ) = 24
1351,3 3 5 7,(3*7) - (3+5),False,3 * ( 3 * 5 - 7 ) = 24
177,1 2 10 12,(12 - 10) * (2 + 1),False,1 * 10 + 12 + 2 = 24
300,2 8 8 13,(8 * (13 - 2)) / 8 = 24,False,( 13 - 2 - 8 ) * 8 = 24
596,5 8 8 9,(8 - 5) * 8 / 9,False,8 / ( 8 - 5 ) * 9 = 24
704,1 4 9 10,(10 - 9) * 4 + 1,False,1 + 10 + 4 + 9 = 24
192,1 2 6 8,(8 * 2) - (6 - 1) = 24,False,1 / 2 * 6 * 8 = 24
285,2 2 2 11,(11 - 2) * (2 + 2) = 24,False,( 11 + 2 ) * 2 - 2 = 24
641,8 10 10 12,(10 - 8) * (12 - 10) = 24,False,10 + 10 + 12 - 8 = 24
437,1 2 3 5,(3 * 5) - 2 - 1 = 24,False,( 1 + 2 ) * ( 3 + 5 ) = 24
752,1 3 8 8,(8 - 3) * (8 - 1) = 24,False,( 1 + 3 ) * 8 - 8 = 24
442,10 10 12 13,(12 - 10) * (13 - 10) = 24,False,12 - 10 / 10 + 13 = 24
988,5 5 8 13,(13 - 5) * (8 / 5) = 24,False,( 13 - 5 - 5 ) * 8 = 24
939,2 6 8 12,(12 * 2) - (8 * 6) = 24,False,12 - 2 + 6 + 8 = 24
1191,8 8 8 11,(8 / (11 - 8/8)) = 24,False,11 * 8 - 8 * 8 = 24
746,4 8 9 11,(11 - 9) * 8 / 4 = 24,False,11 - 4 + 8 + 9 = 24
137,1 3 6 12,(6 / (1 - (3 / 12))) = 24,False,1 * 12 / 3 * 6 = 24
585,1 3 5 11,(11 - 5) * (3 + 1) = 24,True,( 1 + 11 ) * ( 5 - 3 ) = 24
171,1 2 4 4,(4 * 4) - (2 * 1) = 24,False,( 1 + 2 ) * ( 4 + 4 ) = 24
892,3 4 5 6,(5 * 6) - (4 * 3) = 24,False,( 3 - 4 + 5 ) * 6 = 24
1319,4 5 6 11,(11 - 6) * 5 - 4 = 24,False,( 11 + 5 ) / 4 * 6 = 24
828,1 1 4 10,(10 - 4) * (1 + 1) = 24,False,( 1 + 1 ) * 10 + 4 = 24
1055,6 9 10 12,(10 - 6) * (12 / 9) = 24,False,10 * ( 12 - 9 ) - 6 = 24
707,1 6 10 13,(13 - 10) * (6 - 1) = 24,False,( 1 - 10 + 13 ) * 6 = 24
91,7 8 12 12,(12 - 7) * (12 / 8) = 24,False,12 - 12 * ( 7 - 8 ) = 24
194,2 8 13 13,(13 - 13) * 2 + 8 = 24,False,( 13 / 13 + 2 ) * 8 = 24
735,4 6 10 12,(12 * 10) / (6 - 4) = 24,False,10 + 12 - 4 + 6 = 24
190,3 8 11 12,(11 - 3) * (12 / 8) = 24,False,( 12 - 11 ) * 3 * 8 = 24
945,1 3 9 9,(9 - 1) * (9 - 3) = 24,False,( 9 - 1 ) / 3 * 9 = 24
1168,2 5 5 9,(5 * 2) * (9 - 5) = 24,False,2 * 5 + 5 + 9 = 24
342,2 3 12 13,(13 - 12) * (3 + 2) = 24,False,12 + 13 + 2 - 3 = 24
630,2 7 8 11,(11 - 7) * (8 - 2) = 24,True,11 - 2 + 7 + 8 = 24
245,1 5 8 9,(9 - 8 + 5) * 1 = 24,False,( 1 - 9 ) * ( 5 - 8 ) = 24
319,1 2 3 6,(3 * 2 * 6) / 1,False,( 1 * 2 + 6 ) * 3 = 24
694,4 4 7 12,(7 - 4) * 4 - 12 = 24,False,12 - 4 * ( 4 - 7 ) = 24
715,1 11 13 13,(13 - 13 + 11) * 1,False,( 1 + 11 / 13 ) * 13 = 24
369,7 8 12 13,(12 - 8) * (13 - 7) = 24,True,12 + 13 + 7 - 8 = 24
1289,7 9 11 12,(12 - 7) * (11 - 9) = 24,False,( 11 + 7 ) * 12 / 9 = 24
150,6 6 10 13,(6 * 6) - (10 - 13) = 24,False,10 + 13 + 6 / 6 = 24
1009,6 7 9 9,(9 - 6) * (9 - 7) = 24,False,6 - ( 7 - 9 ) * 9 = 24
716,1 4 6 7,(6 * 4) - 7 + 1 = 24,False,( 1 - 4 + 7 ) * 6 = 24
338,1 6 6 10,(6 * 6) - 1 - 10 = 24,False,( 1 * 10 - 6 ) * 6 = 24
374,2 5 5 13,(13 - 5) * 2 + 5 = 24,False,( 13 - 5 ) * ( 5 - 2 ) = 24
866,1 5 6 13,(13 - 5) * (6 - 1),False,1 * 13 + 5 + 6 = 24
110,1 6 6 11,(11 - 6) * 6 / 1,False,1 + 11 + 6 + 6 = 24
1006,3 6 7 13,(13 - 7) * 3 - 6 = 24,False,13 + 3 * 6 - 7 = 24
439,2 2 7 13,(13 - 7) * 2 + 2 = 24,False,13 + 2 + 2 + 7 = 24
11,1 1 4 8,(8 * 4) - (1 + 1) = 24,False,( 1 + 1 ) * ( 4 + 8 ) = 24
1324,5 7 10 11,(11 - 5) * (10 - 7) = 24,False,( 10 - 5 ) * 7 - 11 = 24
1216,2 2 9 10,(10 - 9) * (2 + 2) = 24,False,10 - 2 * ( 2 - 9 ) = 24
595,1 4 8 11,(11 - 1) * 4 / 8 = 24,False,1 + 11 + 4 + 8 = 24
805,2 2 3 11,(11 - 2) * 2 - 3 = 24,False,( 11 - 2 + 3 ) * 2 = 24
986,1 2 7 12,(12 / (1 - (2 / 7))) = 24,False,12 - ( 1 - 7 ) * 2 = 24
840,5 9 9 11,(11 - 9) * 5 + 9 = 24,False,11 - 5 + 9 + 9 = 24
661,4 6 8 12,(12 / 4) * (8 - 6) = 24,False,12 * ( 4 + 6 - 8 ) = 24
436,3 3 4 4,3 * 3 * 4 - 4 = 24,False,3 * ( 3 * 4 - 4 ) = 24
583,6 6 7 10,(7 - 6) * (10 + 6) = 24,False,( 10 - 7 ) * 6 + 6 = 24
1144,5 9 9 12,(9 - 5) * 12 / 9 = 24,False,( 12 - 9 ) * 5 + 9 = 24
24,1 1 13 13,13 * (13 - 1 - 1) = 24,False,13 - ( 1 + 1 ) + 13 = 24
876,6 9 10 11,(10 - 6) * 11 / 9 = 24,False,10 + 11 - 6 + 9 = 24
