Index,Question,Prediction,Eval,Solution
332,1 3 3 3,(3 + 1) * (3 + 3) = 24,True,( 1 + 3 ) * ( 3 + 3 ) = 24
1124,1 3 7 9,(1 + 3) * (9 - 7) = 24,False,( 1 + 7 ) / 3 * 9 = 24
265,1 6 6 13,(6 / (1 - (13 / 6))) = 24,False,1 - 13 + 6 * 6 = 24
1262,8 9 11 11,(8 * (11 - 9)) * 11 = 24,False,11 * ( 11 - 8 ) - 9 = 24
1334,6 9 9 10,(10 - 9/9) * 6 = 24,False,10 / 6 * 9 + 9 = 24
351,3 4 5 7,7 * (5 - 3) * 4 = 24,False,3 * 4 + 5 + 7 = 24
1089,2 5 10 13,(5 - (13 - 10)) * 2 = 24,False,10 * 13 / 5 - 2 = 24
494,2 5 6 8,8 * (6 - (5 - 2)) = 24,True,2 + 5 * 6 - 8 = 24
406,6 7 10 13,(7 - (13 - 10)) * 6 = 24,True,10 + 13 - 6 + 7 = 24
1314,4 5 6 12,(5 - (12 / 6)) * 4 = 24,False,12 * ( 4 + 6 ) / 5 = 24
1015,4 6 7 12,(6 / (7 - (12 / 4))) = 24,False,12 * 6 / ( 7 - 4 ) = 24
685,6 8 8 11,(11 + 6 - 8) * 8 = 24,False,( 6 - 11 + 8 ) * 8 = 24
174,1 1 4 4,(4 * 4) + (1 * 1) = 24,False,( 1 + 1 + 4 ) * 4 = 24
732,4 4 4 11,(4 * 4) + (4 + 11) = 24,False,( 11 - 4 ) * 4 - 4 = 24
932,6 6 7 12,(6 / 6) + 7 + 12 = 24,False,( 12 - 7 ) * 6 - 6 = 24
608,10 12 13 13,(12 - (13 / 13)) * 10 = 24,False,10 - 12 + 13 + 13 = 24
67,2 5 5 12,(5 - 2) * 5 * 12 / 5 = 24,False,12 + 2 + 5 + 5 = 24
302,1 2 5 6,(6 / (1 - (2 / 5))) = 24,False,( 1 - 2 + 5 ) * 6 = 24
195,2 11 11 11,(11 + 11 + 2) - 11 = 24,False,( 11 + 11 / 11 ) * 2 = 24
128,7 7 11 13,7 * (7 - (13 - 11)) = 24,False,11 + 13 + 7 - 7 = 24
780,3 9 10 12,(12 - 9) * 3 * 10 = 24,False,( 12 - 10 ) * ( 3 + 9 ) = 24
762,4 5 8 8,(8 / 4) * (5 + 8) = 24,False,4 * ( 5 + 8 / 8 ) = 24
83,3 5 5 8,8 * (5 - 3) + 5 = 24,False,( 3 + 5 - 5 ) * 8 = 24
417,5 5 13 13,(5 * 5) - (13 / 13) = 24,True,5 * 5 - 13 / 13 = 24
326,6 7 12 13,(6 / (13 - 12)) * 7 = 24,False,12 + 13 + 6 - 7 = 24
301,7 8 11 12,(12 + 7 - 11) * 8 = 24,False,11 + 12 - 7 + 8 = 24
469,3 9 10 11,(11 + 9) * (10 / (3 + 1)) = 24,False,10 + 11 + 9 / 3 = 24
182,3 9 9 9,(9 / 3) + 9 + 9 = 24,False,3 * ( 9 - 9 / 9 ) = 24
1309,1 3 9 10,(10 - 1) * (9 / 3) = 24,False,( 1 + 10 ) * 3 - 9 = 24
1246,5 9 11 13,(13 - 11) * 5 * 9 = 24,False,( 11 - 5 ) * ( 13 - 9 ) = 24
56,5 6 12 12,(5 - (12 / 12)) * 6 = 24,True,12 - 12 * ( 5 - 6 ) = 24
1064,1 4 5 7,(7 - (1 / 5)) * 4 = 24,False,1 + 4 * 7 - 5 = 24
1160,1 4 4 6,(6 / (1 - 4/4)) = 24,False,( 1 + 6 ) * 4 - 4 = 24
3,1 1 1 8,8 * (1 + 1 + 1) = 24,True,( 1 + 1 + 1 ) * 8 = 24
190,3 8 11 12,(12 - 8 + 11) * 3 = 24,False,( 12 - 11 ) * 3 * 8 = 24
424,4 8 11 12,(12 - (11 - 8)) * 4 = 24,False,( 11 - 12 + 4 ) * 8 = 24
669,5 5 8 8,(5 * 5) - (8/8) = 24,True,5 * 5 - 8 / 8 = 24
1059,2 4 4 10,(4 * 2) * (10 - 4) = 24,False,10 - 2 + 4 * 4 = 24
87,8 8 11 13,(8 / (13 - 11)) * 8 = 24,False,11 + 13 + 8 - 8 = 24
1193,2 3 7 7,(7 * (3 + 1)) - 2 = 24,False,2 * 7 + 3 + 7 = 24
1126,3 5 12 12,(12 / (12 / (3 - 5))) = 24,False,( 12 + 12 * 5 ) / 3 = 24
155,3 8 10 11,8 * (11 - 10) * 3 = 24,True,( 11 - 10 ) * 3 * 8 = 24
676,5 8 9 11,(11 - 9) * 5 * 8 = 24,False,( 11 - 8 ) * 5 + 9 = 24
1145,4 4 4 10,4 * 4 + 4 + 10 = 24,False,10 * 4 - 4 * 4 = 24
131,9 9 11 13,9 / (13 - 11) * 9 = 24,False,11 + 13 + 9 - 9 = 24
371,1 1 4 9,9 * (1 + 1) * 4 / 4 = 24,False,( 1 - 4 ) * ( 1 - 9 ) = 24
1036,3 5 6 10,(5 - 3) * 6 * 10 / 10 = 24,False,10 + 3 + 5 + 6 = 24
28,7 7 12 12,(7 / (12 / 12) + 7) = 24,False,12 + 12 + 7 - 7 = 24
344,2 11 11 13,(11 + 2 - 13) * 11 = 24,False,( 11 + 11 ) / 2 + 13 = 24
650,1 3 12 12,(12 / (12 / (3 - 1))) = 24,False,1 * 12 * 3 - 12 = 24
554,2 2 4 10,(10 * 2) + 4 - 2 = 24,False,( 10 + 2 ) / 2 * 4 = 24
387,1 2 11 12,(12 + 1) * 2 - 11 = 24,False,11 - 1 + 12 + 2 = 24
49,9 9 12 12,(9 / (12 / 12)) + 9 = 24,False,12 + 12 + 9 - 9 = 24
462,4 8 10 12,12 / (8 - (10 - 4)) = 24,False,10 + 12 + 8 / 4 = 24
564,1 4 10 11,"11 + 1 = 12
12 * 10 = 120
120 / 4 = 30
30 - 6 = 24

Here is a correct solution:

(11 - 1) * (10 - 4) = 24",False,10 - 1 + 11 + 4 = 24
42,1 5 7 12,(12 - 7 + 1) * 5 = 24,False,1 - 12 + 5 * 7 = 24
798,5 5 6 7,(7 - (6 / 5)) * 5 = 24,False,5 * 5 + 6 - 7 = 24
1116,2 3 7 8,(7 - (8 / 2)) * (3 * 2) = 24,False,( 2 + 7 ) / 3 * 8 = 24
1109,4 10 10 12,(10 / 4) * (12 - 10) = 24,False,10 * ( 12 - 10 ) + 4 = 24
715,1 11 13 13,\(13 + 13 - 11 \times 1 = 24\),False,( 1 + 11 / 13 ) * 13 = 24
466,3 5 13 13,(13 / (13 - 5)) * 3 = 24,False,13 + 13 + 3 - 5 = 24
1152,3 6 8 13,(13 - 6) * (8 - 3) = 24,False,13 - 3 + 6 + 8 = 24
956,3 4 6 8,8 * (6 - (4 / 3)) = 24,False,( 3 * 4 - 8 ) * 6 = 24
984,2 6 7 11,(6 / (7 - (11 / 2))) = 24,False,( 11 - 6 + 7 ) * 2 = 24
790,2 2 5 7,(7 - (2/2)) * 5 = 24,False,2 * 5 + 2 * 7 = 24
1268,1 7 12 13,13 + 7 - (12 / 1) = 24,False,( 1 + 13 ) * 12 / 7 = 24
1074,7 7 9 10,(10 - 7) * 9 - 7 = 24,False,10 - 7 * ( 7 - 9 ) = 24
1301,1 7 13 13,(13 / (7 - (13 / 1))) = 24,False,( 13 * 13 - 1 ) / 7 = 24
291,4 6 7 8,8 / (7 - (6 / 4)) = 24,False,( 4 + 6 - 7 ) * 8 = 24
672,1 3 6 13,13 + 6 + 3 + 1 * 1 = 24,False,( 1 + 13 - 6 ) * 3 = 24
1235,4 4 8 9,(9 - (8/4)) * 4 = 24,False,4 * 9 - ( 4 + 8 ) = 24
787,6 6 6 12,(6 / 6 + 1) * 12 = 24,True,12 * ( 6 + 6 ) / 6 = 24
293,1 5 8 10,8 * (5 - (10 / 1)) = 24,False,1 + 10 + 5 + 8 = 24
844,2 5 6 10,(5 - (10 / 2)) * 6 = 24,False,10 * 2 / 5 * 6 = 24
789,2 11 12 13,(12 + 13 - 11) * 2 = 24,False,( 11 - 12 + 13 ) * 2 = 24
129,1 4 4 12,(12 / (1 - (4 / 4))) = 24,False,( 1 + 4 / 4 ) * 12 = 24
97,1 1 10 13,(13 - 1) * (10 / (1 + 1)) = 24,False,1 + 1 * 10 + 13 = 24
335,1 2 5 7,(7 - (1 / 2)) * 5 = 24,False,1 * 2 * ( 5 + 7 ) = 24
751,2 4 10 13,(13 - 2) * (10 / 4) = 24,False,( 13 - 10 ) * 2 * 4 = 24
398,8 8 10 13,(8 * (13 - 10)) - 8 = 24,False,10 + 13 + 8 / 8 = 24
661,4 6 8 12,(6 / (1 - (4 / 8))) * 12 = 24,False,12 * ( 4 + 6 - 8 ) = 24
1146,3 4 10 10,(10 / (3 - 10/4)) = 24,False,10 * 3 - 10 + 4 = 24
999,4 9 10 13,13 + 9 - (10 / 4) = 24,False,( 10 - 13 + 9 ) * 4 = 24
515,9 10 10 13,(13 + 9 - 10) * 10 = 24,False,10 + 10 + 13 - 9 = 24
367,1 3 10 11,11 + 1 + 3 * 10 = 24,False,1 - 10 + 11 * 3 = 24
249,8 8 8 10,8 * (10 - 8) + 8 = 24,True,( 10 - 8 ) * 8 + 8 = 24
1050,4 10 11 13,(13 - 10) * 4 * 11 = 24,False,10 * ( 13 - 11 ) + 4 = 24
711,3 11 12 12,\(12 \div (12 - (11 - 3)) = 24\),False,( 11 - 12 + 3 ) * 12 = 24
532,5 10 13 13,(5 - (13 / 13)) * 10 = 24,False,( 10 - 13 ) * ( 5 - 13 ) = 24
683,3 4 7 10,(7 - (10 - 3)) * 4 = 24,False,10 + 3 + 4 + 7 = 24
1098,1 4 5 8,8 * (5 - 1) - 4 = 24,False,( 1 + 5 ) * ( 8 - 4 ) = 24
518,1 2 3 9,(1 + 3) * 9 - 2 = 24,False,1 * 2 * ( 3 + 9 ) = 24
724,3 6 7 12,(6 / (7 - (12 / 3))) = 24,False,12 * ( 3 + 6 - 7 ) = 24
166,2 8 10 10,(10 - (8 - 2)) * 10 = 24,False,( 10 / 10 + 2 ) * 8 = 24
146,1 4 8 12,(12 - 1) * (8 / 4) = 24,False,1 * 12 + 4 + 8 = 24
709,2 9 10 13,(13 - 10) * 9 * 2 = 24,False,10 * 2 + 13 - 9 = 24
906,1 8 10 11,(11 + 1) * (10 - 8) = 24,True,( 1 + 11 ) * ( 10 - 8 ) = 24
860,3 5 9 13,(13 - 5) * (9 - 3) = 24,False,13 - 3 + 5 + 9 = 24
1207,4 5 6 9,(9 - 5) * (6 - 4) = 24,False,4 + 5 + 6 + 9 = 24
1038,7 8 9 10,(10 - 7) * 8 - 9 = 24,False,8 / ( 10 - 7 ) * 9 = 24
1085,5 7 11 13,(5 * 7) - (13 - 11) = 24,False,( 13 - 11 ) * ( 5 + 7 ) = 24
658,2 8 9 13,(13 - 9) * 2 * 8 = 24,False,( 13 + 8 - 9 ) * 2 = 24
792,2 2 3 6,(6 / (2 - (3 / 2))) * 2 = 24,True,2 * ( 2 * 3 + 6 ) = 24
223,1 2 2 8,(2 + 2) * (8 - 1) = 24,False,( 2 - 1 + 2 ) * 8 = 24
616,4 8 9 10,(9 - (10 - 8)) * 4 = 24,False,( 4 - 10 + 9 ) * 8 = 24
509,5 5 10 11,(5 * 5) - (11 - 10) = 24,True,10 - 11 + 5 * 5 = 24
1297,1 2 9 11,9 * (2 + 1) - 11 = 24,False,( 1 + 2 ) * 11 - 9 = 24
7,1 1 10 12,(12 - (1 / 1)) * 10 = 24,False,1 + 1 + 10 + 12 = 24
1004,2 3 4 5,(5 * 2 * 3) - 4 = 24,False,2 * ( 3 + 4 + 5 ) = 24
1175,2 2 6 7,(7 - (2 / 2)) * 6 = 24,False,2 * ( 2 + 7 ) + 6 = 24
100,4 5 11 12,12 / (11 - (5 - 4)) = 24,False,11 + 12 - 4 + 5 = 24
1023,1 3 7 12,(7 - (1 / 3)) * 12 = 24,False,12 / 3 * ( 7 - 1 ) = 24
915,3 4 6 11,(6 * 4) - (11 - 3) = 24,False,11 + 3 + 4 + 6 = 24
1080,4 5 8 13,(13 - 5) * (8 - 4) = 24,False,( 13 - 5 ) * 4 - 8 = 24
1161,2 5 8 8,8 ÷ (5 - (8 ÷ 2)) = 24,False,5 * 8 - 2 * 8 = 24
1052,7 10 10 12,(10 / (12 / (7 - 10))) = 24,False,10 - ( 10 - 12 ) * 7 = 24
1010,7 8 10 10,(7 * (10/10)) + 8 = 24,False,10 + ( 10 - 8 ) * 7 = 24
401,2 2 12 13,(13 - 2) * (12 / 2) = 24,False,12 + 13 - 2 / 2 = 24
254,1 2 12 12,(12 / (1 - (2 / 12))) = 24,False,( 1 + 2 ) * 12 - 12 = 24
961,8 8 10 12,(12 - (8 / 8)) * 10 = 24,False,( 12 - 10 ) * 8 + 8 = 24
1060,3 3 3 4,(3 * 3 * 3) - 4 = 24,False,3 + 3 * ( 3 + 4 ) = 24
214,10 10 11 12,(10 * 2) + (11 - 12) = 24,False,10 / 10 + 11 + 12 = 24
392,4 7 8 8,8 * (7 - (8 / 4)) = 24,False,( 4 + 7 - 8 ) * 8 = 24
454,2 9 10 12,(12 - 9) * 2 * 10 = 24,False,( 10 - 2 ) * ( 12 - 9 ) = 24
55,3 8 11 11,11 / (11 - 8/3) = 24,False,11 - 11 + 3 * 8 = 24
1337,5 7 7 11,(7 * (11 - 5)) - 7 = 24,False,( 5 - 11 / 7 ) * 7 = 24
879,2 2 2 5,(5 - 2/2) * 2 = 24,False,2 * ( 2 + 2 * 5 ) = 24
1117,3 5 9 9,(9/3 + 5) * 9 = 24,False,( 3 - 9 ) * ( 5 - 9 ) = 24
287,10 11 11 13,(11 - (10 / (13 - 11))) * 11 = 24,False,10 + 11 / 11 + 13 = 24
561,5 6 10 10,(5 * 6) - (10 / 10) = 24,False,( 10 + 10 ) / 5 * 6 = 24
51,3 3 12 12,(3 + 3) * (12 / 12) = 24,False,12 + 12 + 3 - 3 = 24
979,2 3 10 12,12 / (2 - (3 / 10)) = 24,False,10 * 12 / ( 2 + 3 ) = 24
1280,3 6 7 10,(10 - 7) * 6 * 3 = 24,False,10 + 6 / 3 * 7 = 24
444,2 8 8 8,8 / (2 - 8/8) = 24,False,( 2 + 8 / 8 ) * 8 = 24
1,1 1 11 11,(11 + 11) * (1 + 1) = 24,False,1 + 1 + 11 + 11 = 24
599,1 4 4 9,9 * (4 - 1) - 4 = 24,False,( 1 - 4 + 9 ) * 4 = 24
1283,3 8 10 12,(12 - (10 - 8 / 3)) * 3 = 24,False,10 * 12 / ( 8 - 3 ) = 24
1255,2 2 5 8,8 * (5 - 2) - 2 = 24,False,2 * ( 5 + 8 ) - 2 = 24
788,1 3 5 10,(10 * 3) - (5 - 1) = 24,False,10 - 1 + 3 * 5 = 24
493,10 11 11 12,(12 - (11 - 10)) * 11 = 24,False,11 - 10 + 11 + 12 = 24
300,2 8 8 13,8 / (13 - 2 - 8) = 24,False,( 13 - 2 - 8 ) * 8 = 24
13,4 6 11 11,(4 * 6) - (11 - 11) = 24,True,11 + 11 - 4 + 6 = 24
943,4 5 6 8,8 * (6 - (5 - 4)) = 24,False,( 4 + 5 - 6 ) * 8 = 24
735,4 6 10 12,(6 / (1 - (10 / 12))) * 4 = 24,False,10 + 12 - 4 + 6 = 24
718,5 7 8 8,8 / (7 - (8 / 5)) = 24,False,( 7 - 5 ) * 8 + 8 = 24
589,1 2 4 11,(11 + 1) * 2 - 4 = 24,False,( 1 + 11 ) / 2 * 4 = 24
91,7 8 12 12,(7 - (12 / 12)) * 8 = 24,False,12 - 12 * ( 7 - 8 ) = 24
484,2 2 3 9,(2 / 2 + 3) * 9 = 24,False,( 2 + 2 / 3 ) * 9 = 24
659,4 4 10 12,(4 * 10) + (4 - 12) = 24,False,10 * 4 - ( 12 + 4 ) = 24
753,3 9 9 10,(9 / 3) * (10 - 9) = 24,False,3 * ( 9 - 10 + 9 ) = 24
805,2 2 3 11,(11 + 2) * (3 - 2) = 24,False,( 11 - 2 + 3 ) * 2 = 24
330,5 7 10 12,(5 * 7) - (12 - 10) = 24,False,10 + 12 - 5 + 7 = 24
884,4 6 7 10,(7 - (10 - 6)) * 4 = 24,False,10 - ( 4 - 6 ) * 7 = 24
520,1 7 9 9,(9 / 1) * (9 - 7) = 24,False,7 - 1 + 9 + 9 = 24
208,5 5 11 13,(5 * 5) - (13 - 11) = 24,False,11 + 13 + 5 - 5 = 24
1155,1 5 11 12,12 / (1 - (5 / 11)) = 24,False,( 11 - 1 ) * 12 / 5 = 24
439,2 2 7 13,(13 - 2) * (7 - 2) = 24,False,13 + 2 + 2 + 7 = 24
1048,3 4 8 9,9 * (3 + 4 - 8) = 24,False,3 + 4 + 8 + 9 = 24
733,1 2 3 3,(3 * (1 + 3)) * 2 = 24,True,( 1 + 3 ) * 2 * 3 = 24
500,1 11 12 13,(12 + 1) * (13 - 11) = 24,False,1 * 12 * ( 13 - 11 ) = 24
626,2 2 3 3,(2 + 2) * (3 + 3) = 24,True,( 2 + 2 ) * ( 3 + 3 ) = 24
660,3 4 9 11,\( 11 * 3 - 9 / 4 = 24 \),False,( 11 - 9 ) * 3 * 4 = 24
152,1 3 3 12,(12 + 1 - 3) * 3 = 24,False,( 1 + 3 ) * 3 + 12 = 24
281,3 4 5 8,8 * (5 - (4 - 3)) = 24,False,( 3 + 5 ) * 4 - 8 = 24
416,5 5 6 6,(5 * 5) - (6 / 6) = 24,True,( 5 + 5 - 6 ) * 6 = 24
558,2 3 5 6,6 / (2 - (5 / 3)) = 24,False,( 2 - 3 + 5 ) * 6 = 24
498,2 3 7 12,(7 - (2 + 3)) * 12 = 24,True,12 + 2 + 3 + 7 = 24
752,1 3 8 8,(8 / (1 - (3 / 8))) = 24,False,( 1 + 3 ) * 8 - 8 = 24
1347,9 11 12 13,12 / (13 - 11) * 9 = 24,False,12 / 11 * ( 13 + 9 ) = 24
44,1 8 8 8,8 * (8 - (1 + 1)) = 24,False,1 * 8 + 8 + 8 = 24
644,2 3 4 8,8 * (4 - (3 - 2)) = 24,True,( 2 - 3 + 4 ) * 8 = 24
761,3 7 10 13,(10 * 3) - (13 - 7) = 24,True,10 * 3 - 13 + 7 = 24
1026,6 8 9 12,8 * (6 - 9/12) = 24,False,12 + 8 / 6 * 9 = 24
368,1 9 10 12,12 / (1 - (9 / 10)) = 24,False,( 1 + 10 - 9 ) * 12 = 24
5,1 1 2 12,(12 - 1) * (2 + 1) = 24,False,1 - 1 + 12 * 2 = 24
847,2 4 5 9,(5 - 2) * 4 * 2 = 24,True,( 2 + 4 ) * ( 9 - 5 ) = 24
