Index,Question,Prediction,Answer,Eval,Manual Eval
9979,"What is the gene that encodes helix-turn-helix, Fis-type    Psyr_3913 ?",Transcriptional regulator,"helix-turn-helix, Fis-type    Psyr_3913",FALSE,FALSE
8409,"Which battle did Benjamin R. Marsh, Jr. take part in ?",unknown,World War II,FALSE,FALSE
24458,Which military branch is Adrian Scott Stokes affiliated to ?,Army,British Army,FALSE,TRUE
13825,What are the biological processes that Dopamine beta-hydroxylase are involved in ?,Catecholamine biosynthesis,"leukocyte migration, locomotory behavior",FALSE,FALSE
17805,Which people starred in Nobody from Nowhere ?,Unknown,"Marie-Josée Croze, Mathieu Kassovitz, Éric Caravaca",FALSE,FALSE
17833,What are the professions of Wolfgang H. Berger ?,Paleoceanographer,"university teacher, paleontologist, geologist",FALSE,FALSE
9540,What is the sex of Otto Passman ?,Male,male,TRUE,TRUE
27454,What is a component of Beta-tectorin ?,Protein,plasma membrane,FALSE,FALSE
14519,Which human settlement is the work location of Reinhard Philipp ?,Vienna,Hamburg,FALSE,FALSE
12590,Which party is Josef Závěta affiliated with ?,Piráti,Christian and Democratic Union – Czechoslovak People's Party,FALSE,FALSE
13023,Which administrative territory does Miluše Horská belong to ?,Czechia,Czech Republic,FALSE,TRUE
21440,What encodes peptide ABC transporter permease    FN1361 ?,protein,peptide ABC transporter permease    FN1361,FALSE,FALSE
11536,"What title was held by Sir Richard Heron, 1st Baronet ?",Baronet,baronet,TRUE,TRUE
4637,Which sex does Antonio Fossati have ?,Male,male,TRUE,TRUE
22295,What are the professions of Gabriel Mann ?,Actor,"model, television actor, actor",FALSE,TRUE
19726,Which awards were Adolf Shayevich awarded with ?,insufficient,"Order of Honour, Order of Friendship of Peoples, Order For Services to the Fatherland 4th class",FALSE,FALSE
26028,Which concept is the genre for Hermann Scherchen ?,conducting,classical music,FALSE,FALSE
18443,What is the gene that encodes Cadherin-20 ?,CDH20,Cdh20,TRUE,TRUE
9377,Where did Rudolf E. A. Havenstein expire ?,Berlin,Berlin,TRUE,TRUE
83,Which school building is the alma mater of David William Evans ?,unknown,Jesus College,FALSE,FALSE
11084,What were the positions held by James Horace King ?,Politician,"member of the House of Commons of Canada, Member of the Senate of Canada",FALSE,FALSE
25059,What is the sex of Vickie Orr ?,Female,female,TRUE,TRUE
24492,What is the mother tongue of Peter Lamborn Wilson ?,English,English,TRUE,TRUE
13746,Which nucleic acid sequence encodes amino acid symporter    NMB1647 ?,unknown,amino acid symporter    NMB1647,FALSE,FALSE
5059,What is the nonprofit organization where Sudhir Venkatesh was educated ?,University,University of Chicago,FALSE,FALSE
2718,Which administrative territory is the place of birth of Franz-Reiner Erkens ?,Germany,Cologne,FALSE,FALSE
27303,Which gene encodes Sarcoplasmic reticulum histidine-rich calcium-binding protein ?,HRC,HRC,TRUE,TRUE
335,Who are the creators of Confessions on a Dance Floor ?,Madonna,"Madonna, Stuart Price",FALSE,TRUE
12046,Who did the compostion for Ace Ventura: When Nature Calls ?,Robert Folk,Robert Folk,TRUE,TRUE
348,Which sex does John Hlophe belong to ?,male,male,TRUE,TRUE
20809,What were the positions held by John Baldacci ?,Governor,"United States representative, member of the State Senate of Maine, Governor of Maine",FALSE,TRUE
6819,Which administrative territory was Emmanuel Okoduwa born in ?,Edo,Lagos,FALSE,FALSE
21717,"Which chemical bonds represent molecular function of Glycerol-3-phosphate dehydrogenase, mitochondrial ?",Catalyzing,"metal ion binding, calcium ion binding",FALSE,FALSE
9445,Who served as the screenwriter for The Sandlot 2 ?,Screenwriter,David M. Evans,FALSE,FALSE
25750,What was the sport that Johnny Lipon was a part of ?,Baseball,baseball,TRUE,TRUE
25356,Which administrative territory does Rui Jorge Costa Figueiredo belong to ?,Portugal,Portugal,TRUE,TRUE
26644,Which administrative territory does College of Wooster belong to ?,Ohio,United States of America,FALSE,TRUE
7079,Which sporting events did Tarnee White take part in ?,Swimming,"Swimming at the 2008 Summer Olympics – Women's 4 × 100 metre medley relay, Swimming at the 2000 Summer Olympics – Women's 4 × 100 metre medley relay",FALSE,TRUE
10124,Who wrote the music for The End ?,composer,Lucio Godoy,FALSE,FALSE
23864,Which state is Nikolay Khlibko a civilian of ?,Ukraine,Soviet Union,FALSE,FALSE
24239,Which administrative territory is the birthplace of Tito Mistrali ?,Argentina,Parma,FALSE,FALSE
7381,What is the profession of Emilia Bottas ?,Designer,swimmer,FALSE,FALSE
4821,Which health problem does Paul Martin suffer from ?,Unknown,poliomyelitis,FALSE,FALSE
26508,Which french administrative division is the place of birth of Claudio Gonnet ?,Gagny,Moûtiers,FALSE,FALSE
21533,"Who composed Play It Again, Sam ?",Woody Allen,Billy Goldenberg,FALSE,FALSE
10265,Which sport did Karim Meliani participate in ?,Athletics,association football,FALSE,FALSE
22588,Where did the expiration of Paul Platen occur ?,Death,Leipzig,FALSE,FALSE
5586,Who is the director of photography for Ladies' Man ?,Cinematographer,Victor Milner,FALSE,FALSE
7136,Who is appointed as the cinematographer of Who Takes Love Seriously? ?,Unknown,Curt Courant,FALSE,FALSE
10110,"Which language is spoken by Nicholas Phillips, Baron Phillips of Worth Matravers ?",English,English,TRUE,TRUE
11476,Which chemical bonds represent molecular function of DNA topoisomerase IV subunit B    EAE_03570 ?,Unwinding,"magnesium ion binding, metal ion binding",FALSE,FALSE
2613,Who was the screenwriter for The Chasers ?,Unknown,Erik Løchen,FALSE,FALSE
20983,Which are the cell components of P2X purinoceptor 4 ?,Subunits,"postsynapse, apical part of cell",FALSE,FALSE
10094,Which situation led to the death of Jean-Pierre Lamy ?,assassination,suicide,FALSE,FALSE
13763,Which sports team has Cédric Hominal as its member ?,"I'm sorry, but without current information, I am unable to provide the details of which sports team Cédric Hominal is a member of, given that my knowledge cut-off is March 2023. It's also possible that Cédric Hominal is not a widely recognized athlete in major international sports, which makes it difficult to find information without up-to-date data.",Tours VB,FALSE,FALSE
22644,What is the biological process that tRNA (guanine-N(7)-)-methyltransferase    BSU29900 is involved in ?,Translation,methylation,FALSE,FALSE
2209,Which political territory does Emil Podszus belong to ?,Germany,Germany,TRUE,TRUE
2723,Which french administrative division is the birthplace of Mathurin Couperin ?,Chaumes-en-Brie,Chaumes-en-Brie,TRUE,TRUE
22001,Who is the producer of Appointment with Venus ?,Producer,Betty Box,FALSE,FALSE
2757,Which name is associated with Billy Smith ?,hockey,Smith,FALSE,FALSE
2615,Who have Elisabeth of Nassau-Dillenburg as thier sibling ?,Siblings,"Maria of Nassau, Catharine of Nassau-Dillenburg, Juliana of Nassau-Dillenburg",FALSE,FALSE
18518,What is the firstname of JJ Engelbrecht ?,Johannes,J.J.,FALSE,FALSE
16458,What is the building where Alain Soral was educated ?,school,Collège Stanislas de Paris,FALSE,FALSE
25989,Which political organization is Jim Carlton a member of ?,Liberal,Liberal Party of Australia,FALSE,TRUE
15658,Which french administrative division is the place of birth of Roger Bastide ?,Département,Nîmes,FALSE,FALSE
8291,Which occupation was a position held by Hieronymus von Klebelsberg ?,Politician,mayor,FALSE,TRUE
620,Which occupations were the positions occupied by Mattheus Packebusch ?,occupations,"mayor, councillor",FALSE,FALSE
17537,Which occupation has Jarnail Singh as his/her 's career ?,Politician,association football player,FALSE,FALSE
7708,Which sport was Colin Bettany a part of ?,Archery,association football,FALSE,FALSE
27178,Which occupations were the positions occupied by Pedro de Deza ?,Jurist,"cardinal, bishop, cardinal-bishop",FALSE,FALSE
16625,Which narrative location is A Return to Salem's Lot set in ?,town,Maine,FALSE,FALSE
6824,Which taxon is FAD-linked sulfhydryl oxidase ALR found in ?,Eukaryotes,Homo sapiens,FALSE,FALSE
15046,Which military school is Jack Baldwin an alumni of ?,West Point,"Royal Military College, Sandhurst",FALSE,FALSE
27140,What was was Adolphe DuBois d'Aische a part of ?,aristocracy,World War I,FALSE,FALSE
12880,Which male person has a child named Mikołaj Hlebowicz ?,"Mikołaj Hlebowicz does not pertain to any widely recognized individual whose parentage is a matter of public record or general knowledge as of my last knowledge update in April 2023. To answer this, one would likely need access to private or recent information.",Jan Janowicz Hlebowicz,FALSE,FALSE
4544,Where did the demise of Jules de Polignac occur ?,Paris,Paris,TRUE,TRUE
20022,Who has the surname Wilfred Brown ?,Character,Brown,FALSE,FALSE
15287,What can be considered as category for T. Trilby ?,Character,children's literature,FALSE,FALSE
16604,What is the metabolic process that 2-dehydropantoate 2-reductase    SAOUHSC_02739 is involved in ?,Biosynthesis,oxidation-reduction process,FALSE,FALSE
5816,Where did Leon Grot expire ?,Moscow,Warsaw,FALSE,FALSE
9547,Who is the employer of Karl Brandt ?,Nazi,Adolf Hitler,FALSE,TRUE
20943,Which secondary school was Denzel Livingston educated at ?,Insufficient information.,Waltrip High School,FALSE,FALSE
20236,What did Arturo Barrios participate in ?,Running,athletics,FALSE,TRUE
8234,Who is associated with Hugh Beaumont ?,Actor,Beaumont,FALSE,FALSE
5049,Which language can Noreen Evans read ?,English,English,TRUE,TRUE
13885,What is the ethnicity of Fumiya Yazaki ?,Japanese,Japanese people,FALSE,TRUE
19945,Which occupation was a position held by Wilhelm Ziegenfuß ?,Policeman,member of the Landtag of North Rhine-Westphalia,FALSE,FALSE
4122,Which musical instrument does György Ferenczy know to play ?,piano,piano,TRUE,TRUE
27666,Which occupations were the positions for which Celso Benigno Luigi Costantini were appointed ?,diplomat,"cardinal, bishop",FALSE,FALSE
15316,What event is Juan E. Méndez associated with ?,Human rights,prisoner of conscience,FALSE,TRUE
20596,Who did the compostion for Time of Favor ?,composer,Jonathan Bar Giora,FALSE,FALSE
11515,What were the positions held by Walter Schellenberger ?,Violist,"Member of Landtag of Rhineland-Palatinate, mayor",FALSE,FALSE
15308,Which person was the father of Princess Caroline of Denmark ?,Frederick VIII,Frederick VI of Denmark,FALSE,FALSE
21566,Which party is Mario Baldini affiliated with ?,Nonexistent,Christian Democracy,FALSE,FALSE
12398,Which human settlement is the place of birth of Detlev Buchholz ?,Braunschweig,Gdańsk,FALSE,FALSE
19139,What do Silvano Colusso do for a living ?,"If you intended to refer to Silvano Colussi, he was a footballer. If ""Silvano Colusso"" is a different individual whose profession is not publicly known, I wouldn't have information about his occupation.","association football manager, association football player",FALSE,TRUE
2182,Which person is the life partner of Caroline Blakiston ?,Unknown,Russell Hunter,FALSE,FALSE
16410,Which sex does Birger Pontén possess ?,Maleness,male,FALSE,TRUE
7774,What represents the molecular function of Holliday junction-specific endonuclease    SAG0299 ?,Resolution,"magnesium ion binding, metal ion binding",FALSE,FALSE
12558,Which administrative territories are adjacent to Meiringen ?,Cantons,"Grindelwald, Innertkirchen",FALSE,FALSE
26567,What can be considered as category for The Door Below ?,Genre,"mystery fiction, horror literature",FALSE,FALSE
1312,Which language is Donato García capable of writing ?,Spanish,Spanish,TRUE,TRUE
16090,What was the war that Valdemar Rudol'fovic Roze took part in,Russo-Japanese,World War I,FALSE,FALSE
2035,Which administrative territory is the place of birth of George McGinnis ?,Indiana,Indianapolis,FALSE,TRUE
5359,Which administrative territory is Iwao Nakatani a civilian of ?,Japan,Japan,TRUE,TRUE
6996,What was the sport that Giovanni Frangipane was a part of ?,Fencing,association football,FALSE,FALSE
13792,Which administrative territory does Luboš Horčička belong to ?,Czechia,Czech Republic,FALSE,TRUE
2640,What was the position for which Herb Snyder was appointed ?,Senator,member of the State Senate of West Virginia,FALSE,TRUE
11845,Which organization is the place of burial of Inezita Barroso ?,Cemitério do Araçá,Gethsêmani Cemetery,FALSE,FALSE
4306,Which french administrative division was Jean-Baptiste Pelt born at ?,Moselle,Bousse,FALSE,FALSE
24606,Which person is the spouse of Mikhail Petrovich Bestuzhev-Ryumin ?,unmarried,Anna Gavrilovna Golovkina,FALSE,FALSE
12361,Which people does Victor Allen Bolden have as ethnic origin ?,African-American,African Americans,FALSE,TRUE
11744,Where was Anthony Barnes Atkinson born ?,Caerleon,Caerleon,TRUE,TRUE
7328,Which occupations were the positions for which Martin Reichmann were appointed ?,"Sorry, but I don't have information on a person named Martin Reichmann and the positions he might have been appointed to. If he's a private individual or not a widely recognized public figure, it’s likely that such information wouldn't be available in public databases up to my last update in early 2023.","mayor, member of the German Bundestag",FALSE,FALSE
7751,Which occupation has Daniel Cartus as his/her 's career ?,unknown,association football player,FALSE,FALSE
16167,Who has the surname Cao Xuan ?,Vietnamese,Cao,FALSE,FALSE
22427,Which is the work location of Peter Börnsen ?,Unknown,Berlin,FALSE,FALSE
6143,Who are Louise Fould a sibling of ?,philanthropist,"Henriette Fould, Suzanne Fould",FALSE,FALSE
3115,Which people are in Inquest ?,"Inquest is not a commonly known organization or group that can be definitively answered without further context. If you can provide more specific information on the particular ""Inquest"" you're referring to, I can attempt to give you a more accurate term.","Barbara Everest, Herbert Lomas, Elizabeth Allan",FALSE,FALSE
19248,Which language is spoken by Josep Quero i Molares ?,Catalan,Spanish,FALSE,TRUE
143,Which administrative territory was Matthias Dürmeyer born in ?,Unknown,Abensberg,FALSE,FALSE
569,Which villages are adjacent to Beaumont-en-Verdunois ?,Desolated,"Haumont-près-Samogneux, Ornes, Louvemont-Côte-du-Poivre",FALSE,FALSE
17768,Which is the cell component of Rhomboid-related protein 2 ?,Mitochondrion,plasma membrane,FALSE,FALSE
18673,Which gene encodes Zinc finger protein 39 ?,ZNF189,Zfp39,FALSE,FALSE
12116,Which sports team is Klaus Stürmer a member of ?,Unknown,Germany national under-18 football team,FALSE,FALSE
6877,Which name is associated with Amanda Root ?,actress,Root,FALSE,FALSE
6382,Where did Norbert Casteret die ?,Saint-Martory,Toulouse,FALSE,FALSE
10518,Which cemetery is the resting place of Martin F. Smith ?,Private,Arlington National Cemetery,FALSE,FALSE
11725,Which french administrative division is the place of birth of Francis Mizio ?,Gironde,Melun,FALSE,FALSE
5460,Which sport was Jacken Sebastien a part of ?,Skiing,association football,FALSE,FALSE
21036,Which administrative territory is the place of death of Friedrich Jolly ?,Germany,Berlin,FALSE,TRUE
26810,Which process is Taste receptor type 2 member 4 involved in ?,gustation,response to stimulus,FALSE,FALSE
17753,Which recurring event did Wim van Est compete in ?,Tour de France,Tour de France,TRUE,TRUE
27146,Which historic county of England was Edward Daniel Clarke born at ?,Sussex,Sussex,TRUE,TRUE
16491,Which gene encodes O-acetylhomoserine (thiol)-lyase/O-acetylserine (thiol)-lyase    DR_2186 ?,Cysteine synthase,O-acetylhomoserine (thiol)-lyase/O-acetylserine (thiol)-lyase    DR_2186,FALSE,FALSE
4536,Which gene encodes Signal recognition particle 9 kDa protein ?,SRP9,Srp9,TRUE,TRUE
11353,Which sport was Yngve Brodd a part of ?,Football,association football,FALSE,TRUE
15449,Which occupation was a position held by Antoine-François Hardy ?,Cartographer,member of the French National Assembly,FALSE,FALSE
