Index,Question,Prediction,Answer,Eval
1533,"How can I marinate venison steaks?
0.Mix all ingredients together in a colander and let sit for 10 to 30 minutes.
1.Mix all ingredients in a glass bowl and let sit for 10 to 30 minutes.
",1. Mix all ingredients in a glass bowl and let sit for 10 to 30 minutes.,1,True
67,"To shape duct tape into a perfect circle.
0.Use a gasket punch and a hammer.
1.Use a nail and a hammer.
",0. Use a gasket punch and a hammer,0,True
617,"listen
0.can hear record the sound of a birds wings ride by
1.can hear a bird  ride by
",1. 1.can hear a bird ride by,1,True
1550,"To get a pinch of salt,
0.using your thumb and other four fingers, pinch as many salt granules as you can hold in between them.
1.using your thumb and forefinger, pinch as many salt granules as you can hold in between them.
","1. using your thumb and forefinger, pinch as many salt granules as you can hold in between them.",1,True
863,"To secure a bolt in place, you can
0.Use a washer and a nut
1.Use a power washer and a screw
",0,0,True
675,"How to keep a car interior clean and tidy?
0.Use a dashboard cleaner on your dashboard every day, keep a plastic bag on the hood of the car for garbage while driving
1.Use a dashboard cleaner on your dashboard every other week, keep a plastic bag in the backseat of the car for garbage while driving
",1,1,True
1593,"Brown sausages.
0.In a frying pan on medium heat, put a tsp of oil and the sausages in the pan, turning occasionally, and cook until all sides are browned.
1.In a frying pan on medium heat, put a tsp of oil and the sausages in the pan, turning occasionally, and cook until all sides are blackened.
",0,0,True
899,"a  shovel
0.can be used to pick up jello off the ground
1.can be used to pick up oil off the ground
",1,0,False
4,"ice box
0.will turn into a cooler if you add water to it
1.will turn into a cooler if you add soda to it
",0,0,True
1322,"how do you test if pasta is fully cooked.?
0.throw a piece of the pasta on the wall. if it sticks, it is ready.
1.throw a piece of pasta on the wall. if it doesn't stick, it isn't ready.
",0,0,True
281,"How to create scary halloween lights?
0.Fill some see through plastic bottles with water and add some dye in black, red and purple colors, then place a light or torch underneath the bottles
1.Fill some colored plastic bottles with water and add some dye in black, red and purple colors, then place a light or torch next to the bottles
",0,0,True
950,"how to make mixed grains with dates
0.Cook 2 cups mixed grains as the label directs; saute in butter over medium heat, 3 minutes. Stir in 1/2 cup each chopped dates and mixed herbs (such as dill, tarragon and/or parsley); season to taste.
1.Cook 2 cups mixed grains as the label directs; saute in butter over medium heat, 3 minutes. Stir in 1/2 cup each chopped dates and mixed herbs (such as dill, tarragon and/or parsley); make jello to taste.
","0. Cook 2 cups mixed grains as the label directs; saute in butter over medium heat, 3 minutes. Stir in 1/2 cup each chopped dates and mixed herbs (such as dill, tarragon and/or parsley); season to taste.",0,True
1363,"Make oatmeal.
0.Open a packet of oatmeal, mix with boiling water. let sit for a couple minutes. Add very little milk and some brown sugar.
1.Cover rolled oats with water in a cereal bowl. Cook for 2 minutes. Add milk or cream and stir in some brown sugar to taste.
",1. Cover rolled oats with water in a cereal bowl. Cook for 2 minutes. Add milk or cream and stir in some brown sugar to taste.,0,False
648,"Catch a mouse in a trap.
0.Bait the trap with peanut butter and set it where you see mouse droppings.
1.Bait the trap with a cat and set it where you see mouse droppings.
",0. Bait the trap with peanut butter and set it where you see mouse droppings.,0,True
885,"how do you save a message on snapchat?
0.hold down the message you want to save until it is highlighted.
1.hold down the message you want to save until it is unhighlighted.
",0,0,True
1473,"chalk
0.can easily be broke with tin foil 
1.can easily be broke with fist 
",1. can easily be broke with fist,1,True
689,"Remove hair from kitchen drain.
0.Pour full 2 liter bottle of coke soda down kitchen drain.
1.Pour full 2 liter bottle of club soda down kitchen drain.
",0.,0,True
1477,"How to Get Smooth Legs
0.Shave up your legs, against the grain for a close shave.
1.Shave down your legs, with the grain for a close shave.
","1. Shave down your legs, with the grain for a close shave.",0,False
995,"To stir cookies into frosting, you can
0.Use a rubber spatula to stir them together
1.Use a rubber mallet to stir them together
",0,0,True
1502,"Keep laptop from overheating.
0.Use on top of egg carton.
1.Use on top of egg shells.
",0. Use on top of egg carton.,0,True
893,"Remove caked dust from plastic window blinds.
0.Use bleach to wipe stains.
1.Use wine to wipe stains.
",0,0,True
1515,"To cut a shape out of wood, you can
0.Use a copy saw to cut the shape
1.Use a razor blade to cut the shape
",0,0,True
1240,"What 4 items do you need to make slime at home?
0.1)Superglue( you want it to stick and last longer) 2) Food coloring 3) Saline contact solution( must contain boric acid) and 4) Baking soda
1.1) Elmer's Glue 2) Food coloring 3) Saline contact solution( must contain boric acid) and 4) Baking soda
",1. 1) Elmer's Glue 2) Food coloring 3) Saline contact solution (must contain boric acid) and 4) Baking soda,1,True
7,"How do you attach toilet paper to a glass jar?
0.Press a piece of double-sided tape to the glass jar and then press the toilet paper onto the tape.
1.Spread mayonnaise all over the jar with your palms and then roll the jar in toilet paper.
",0. Press a piece of double-sided tape to the glass jar and then press the toilet paper onto the tape.,0,True
1065,"To dig a hole to begin a garden, you can
0.Place a crowbar in the dirt and scoop the dirt into a pile nearby until you have a hole
1.Place a shovel in the dirt and scoop the dirt into a pile nearby until you have a hole
",1,1,True
1536,"To remove a wine bottle cork screw without a corkscrew,
0.screw a screw into the cork and pry it out with a hammer.
1.break the top of the bottle with a hammer to access the wine.
",0,0,True
1341,"how do you go home on the instagram app?
0.click on your profile picture at the bottom right of any page.
1.click on the house at the bottom left of any page.
",1. click on the house at the bottom left of any page.,1,True
1566,"How can I make money, at home, easily?
0.Sign up for Neilsen ratings, they want you to have an app on your browser and will give you 50 dollars a year if you will allow it.
1.Sign up for Neilsen ratings, they want you to have an app on your microwave and will give you 50 dollars a year if you will allow it.
",0,0,True
784,"Make organic air freshener.
0.Mix baking soda and vegetable oil in a jar, cover with cloth and rubber band.
1.Mix baking soda and essential oils in a jar, cover with cloth and rubber band.
","1. Mix baking soda and essential oils in a jar, cover with cloth and rubber band.",1,True
306,"How do I make a PB&J?
0.Take bread, spread peanut butter on one side and jelly on the other, then place spread sides together.
1.Take bread, spread butter on one side and jelly on the other, then place spread sides together.
",0.,0,True
477,"how to clean road salt off of leather shoes
0.To preserve your leather shoes, dip a clean disposable diaper, soft rage in a one-to-one solution of water and vinegar and wipe away the salt.
1.To preserve your leather shoes, dip a clean, soft rage in a one-to-one solution of water and vinegar and wipe away the salt.
",1,1,True
1482,"Make a healthy veggie side dish.
0.Slice tops of chocolate and saute.
1.Slice leafy tops of beets and saute.
",1. Slice leafy tops of beets and saute.,1,True
1655,"Cure a headache with a drink.
0.Brew some ginger tea.
1.Brew some kool-aid.
",0. Brew some ginger tea.,0,True
563,"how do you carve a pumpkin?
0.throw it and crack it until the pumpkin seeds come out.
1.cut into it and take the pumpkin seeds out.
",1,1,True
437,"how to make basic risotto
0.Heat 4 cups chicken and waffles gravy and 3 cups water in a saucepan. Heat 1/4 cup olive oil in a large skillet over medium heat. Add 1 cup chopped leeks and 1/2 cup chopped shallots and cook until tender, 5 minutes. Add 2 cups arborio rice and 1 teaspoon kosher salt and toast, stirring, 1 minute. Add 3/4 cup white wine and simmer until absorbed. Stir in enough warm broth to cover the rice; continue to cook, stirring occasionally and adding more broth as needed to keep the rice covered, until al dente, 18 to 20 minutes. Remove from the heat and stir in 1 cup grated parmesan, 1/4 cup chopped parsley and 2 tablespoons butter. Season with salt and pepper.
1.Heat 4 cups chicken broth and 3 cups water in a saucepan. Heat 1/4 cup olive oil in a large skillet over medium heat. Add 1 cup chopped leeks and 1/2 cup chopped shallots and cook until tender, 5 minutes. Add 2 cups arborio rice and 1 teaspoon kosher salt and toast, stirring, 1 minute. Add 3/4 cup white wine and simmer until absorbed. Stir in enough warm broth to cover the rice; continue to cook, stirring occasionally and adding more broth as needed to keep the rice covered, until al dente, 18 to 20 minutes. Remove from the heat and stir in 1 cup grated parmesan, 1/4 cup chopped parsley and 2 tablespoons butter. Season with salt and pepper.
","1.Heat 4 cups chicken broth and 3 cups water in a saucepan. Heat 1/4 cup olive oil in a large skillet over medium heat. Add 1 cup chopped leeks and 1/2 cup chopped shallots and cook until tender, 5 minutes. Add 2 cups arborio rice and 1 teaspoon kosher salt and toast, stirring, 1 minute. Add 3/4 cup white wine and simmer until absorbed. Stir in enough warm broth",1,True
184,"To cook the kebab meat on a grill
0.Place the kebab meat on the grill.
1.Skewer the meat and put on grill.
",1. Skewer the meat and put on grill.,1,True
1580,"To extend the lifespan of a wooden project, you can
0.Make sure to protect it from contact with water
1.Make sure to increase its contact with water
",0,0,True
1834,"To make orange pulp from oranges.
0.Peel the oranges and put in blender.
1.Peel the oranges and use a hand mixer.
",0. Peel the oranges and put in blender.,0,True
1741,"Sharpie dried out?
0.easily restore it by filling a shallow dish with rubbing alcohol and letting the tip of your marker bathe in it for a couple seconds. Put the cap back on for an hour and the marker will be good as new
1.easily restore it by filling a shallow dish with rubbing alcohol and letting the tip of your marker bathe in it for a couple minutes. Put the cap back on for an hour and the marker will be good as new
",1,1,True
552,"bowl
0.can store soup 
1.can store shoes 
",1,0,False
1673,"To rub spices onto pork
0.Use your hands to apply the spices
1.Use a brush to apply the spices
",0,1,False
824,"Stop a key from sticking in a lock, or from being difficult to put into a lock.
0.Use a paper towel and apply some glue to the key.  Wipe the key almost clean, a small amount of glue will be left behind allowing the key to slide in and out easily.
1.Use a paper towel and apply some oil to the key.  Wipe the key almost clean, a small amount of oil will be left behind allowing the key to slide in and out easily.
",1,1,True
1023,"How do I get the window of my van clean?
0.Use some wood cleaner and a rag to clean the window.
1.Use some glass cleaner and a rag to clean the window.
",1,1,True
1727,"To carefully cut a slot into a piece of wood, you can
0.Use a metal file
1.Use a table saw
",1,1,True
937,"How can I keep my garbage disposal blades sharp and in good repair?
0.Once a month add 6 metal washers into your disposal and turn it on and wash it away, this will sharpen and clean the garbage disposal.
1.Once a month add 6 ice cubes into your disposal and turn it on and wash it away, this will sharpen and clean the garbage disposal.
","1. Once a month add 6 ice cubes into your disposal and turn it on and wash it away, this will sharpen and clean the garbage disposal.",1,True
25,"How do you make raw nuts have more flavor.
0.Boil the nuts in milk for about 20 minutes while stirring constantly.
1.Toast the nuts in a skillet for a few minutes while stirring constantly.
",1,1,True
969,"When is the best time to go to a very popular theme park?
0.The best time to visit a theme park is the day after a big drinking holiday. Especially if you go later in the day.
1.The best time to visit a theme park is the day after a big Friday holiday .  The lines will be very thin, especially early in the day.
",1.,0,False
1582,"To join pieces of plastic straws together for curved, polygonal art.
0.Run bendable wire through the straws to join pieces.
1.Run metal rods through the straws to join pieces.
",0,0,True
600,"To use an Nintendo 64 rumble pak.
0.Insert the pak into the controller.
1.Insert the pak into the console.
",0,0,True
105,"Make a picture for your fish tank.
0.Get your crayons or paints together and give them to your fish to use. Let him or her color what they want.  Get that picture and tape to the backside of the fish tank. Make your fish wonderfully happy.
1.Get your crayons or paints together and think of what kind of picture you would like to make to put on the back of your fish tank. Make that picture and tape to the backside of the fish tank.
",1,1,True
889,"Prevent feet from sweating when wearing flats.
0.Sprinkle inside of shoes with dry shampoo.
1.Sprinkle outside of shoes with dry shampoo.
",0. Sprinkle inside of shoes with dry shampoo.,0,True
1262,"How do you make glow water?
0.Get a bottle of Mountain Dew and pour it into a glass till 1/4th of soda is left. Add a pinch of baking soda and few drops of hydrogen peroxide into the bottle. Shake the mixture properly.
1.Get a bottle of Mountain Dew and pour it into a glass till 1/4th of soda is left. Add a pinch of baking powder and few drops of hydrogen peroxide into the bottle. Shake the mixture properly.
",0,0,True
513,"To reduce the volume of the sounds that can be heard through a wall,
0.turn on loud devices outside the room to muffle the volume from the room.
1.place egg cartons on the wall to muffle the sounds in the room.
","1. place egg cartons on the wall to muffle the sounds in the room.

1",1,True
1022,"Make emergency car cup holder.
0.Place cup in hat.
1.Place cup in shoe.
",0. Place cup in hat.,1,False
729,"to make it easier to push the reset button of the garbage disposable machine which is located underneath the machine
0.place a wall mirror on the floor of the cabinet
1.hold a hand mirror under the garbage disposable machine
",1,1,True
1396,"Make flat iron holder.
0.Fold pot holder into a square.
1.Roll pot holder into a cylinder.
",0. Fold pot holder into a square.,1,False
347,"How can I organize waste in my car?
0.Line a plastic cereal bag insert with a grocery bag and use it as an in-car trash can to keep the container upright, apply a strip of self-adhesive hook and loop fastener to the bottom of the container, so it’ll stick to your car’s carpet.
1.Line a plastic cereal container with a grocery bag and use it as an in-car trash can to keep the container upright, apply a strip of self-adhesive hook and loop fastener to the bottom of the container, so it’ll stick to your car’s carpet.
","1. Line a plastic cereal container with a grocery bag and use it as an in-car trash can to keep the container upright, apply a strip of self-adhesive hook and loop fastener to the bottom of the container, so it’ll stick to your car’s carpet.",1,True
1837,"Where can I buy a tennis ball
0.You can purchase a tennis ball at any sports store
1.You can purchase a tennis racket at any sports store
",0,0,True
1224,"To reduce the pain of a sore through with a natural substance,
0.swallow a cup of water mixed with salt and vinegar and soap.
1.swallow a few spoons of honey when your throat feels sore.
",1,1,True
838,"For making leather earrings, how much leather would I need?
0.You'll only need a small amount. An entire leather jacket should do it.
1.You'll only need a small amount. Scraps from a previous project should do it.
",1. You'll only need a small amount. Scraps from a previous project should do it.,1,True
1287,"How do you find the area of a triangle?
0.To find the area of a triangle, subtract the base by the height, and then divide by 2. The division by 2 comes from the fact that a parallelogram can be divided into 2 triangles. For example, in the diagram to the left, the area of each triangle is equal to one-half the area of the parallelogram.
1.To find the area of a triangle, multiply the base by the height, and then divide by 2. The division by 2 comes from the fact that a parallelogram can be divided into 2 triangles. For example, in the diagram to the left, the area of each triangle is equal to one-half the area of the parallelogram.
",1,1,True
1724,"To safely sleep with your baby in your bed,
0.lay under a light cover only, keep yourself between them and the other parent and put pillows on the ground by the bed in case the baby falls off.
1.lay on top of the cover, keep yourself between them and the other parent or preferably have the other parent sleep somewhere else, and put up a barrier to keep the baby from falling onto the floor.
",1.,1,True
1370,"Avoid static in clothes without dryer sheets.
0.Include two saran wrap balls in dryer.
1.Include two foil balls in dryer.
",1. Include two foil balls in dryer.,1,True
1063,"how do you cure a dry face?
0.put water over it.
1.use a humidifier in the house.
",1. use a humidifier in the house.,1,True
1214,"how to make coconut-almond truffles
0.Combine 3/4 cup almond butter, 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill.
1.Combine 3/4 cup almond marzipan paste , 1/2 cup each confectioners’ sugar and unsweetened shredded coconut, 3 tablespoons cocoa powder and 1/2 teaspoon vanilla; work into a dough. Roll into balls, then roll in shredded coconut. Chill.
",0.,0,True
570,"How can you avoid being affected by Poison Ivy?
0.Rub TechNu on your skin before going out.
1.Rub Poison Oak on your skin before going out.
",0. Rub TechNu on your skin before going out.,0,True
469,"two forks
0.count for more than one fork 
1.count for more than gold 
",0,0,True
766,"how do I fix a squeaky window?
0.Use a rag to wipe around the window seal, door frame or body of the car. Wait a few minutes, then roll up the window. Make the glass go up and down two or three times to ensure that the silicone grease gets down into the track. The squeaky sound should improve each time
1.Use a rag to wipe around the window seal, door frame or body of the car. Wait a few minutes, then roll up the window. Make the glass go up and down two or three times to ensure that the silicone sealant gets down into the track. The squeaky sound should improve each time
",0,0,True
1581,"Place a hole in a water bottle lid to make a squirt gun
0.Remove the lid from a water or soda bottle and place on a piece of scrap wood. Drive a nail into the lid center with a glove, just until the hole is through the plastic. Remove the nail and place on a bottle full of water.
1.Remove the lid from a water or soda bottle and place on a piece of scrap wood. Drive a nail into the lid center with a hammer, just until the hole is through the plastic. Remove the nail and place on a bottle full of water.
","1. Remove the lid from a water or soda bottle and place on a piece of scrap wood. Drive a nail into the lid center with a hammer, just until the hole is through the plastic. Remove the nail and place on a bottle full of water.",1,True
578,"Treat muscle cramp.
0.Drink pickle juice.
1.Drink green olive juice.
",0. Drink pickle juice.,0,True
1260,"What is the best way to feel at least a bit happier every day?
0.The best way to feel a little bit better even if you are really down is to help somebody. If you help somebody in any way, no matter how big or small, you will feel better, it is guaranteed.
1.The best way to feel a little bit better even if you are really down is to snub somebody. If you snub somebody in any way, no matter how big or small, you will feel better than them, it is guaranteed.
",0,0,True
13,"peeler
0.can be used as a decoration on a television 
1.can be used as a decoration on a sock 
",0,0,True
264,"After baking the rollo cookies
0.Remove them from the oven and eat.
1.After you remove the cookies from the oven you will want to allow them to sit on the pan for a few minutes. If you try to take them off right away the caramel tends to spill from the cookie and they are hard to remove.
",1,1,True
1360,"How to make macaroni and cheese.
0.Make a cheese roux in a large pot. In a separate pot boil a package of macaroni until tender and set aside. combine the macaroni into the roux in a large baking dish. Cook in the oven at 450 for 20 minutes. Then you are ready to serve.
1.Make a cheese roux in a large pot. In a separate pot boil a package of macaroni until tender and set aside. Combine the macaroni into the roux in a large baking dish. Cook in a dutch oven at 450 for 20 minutes. Then you are ready to serve.
",1. Make a cheese roux in a large pot. In a separate pot boil a package of macaroni until tender and set aside. Combine the macaroni into the roux in a large baking dish. Cook in a dutch oven at 450 for 20 minutes. Then you are ready to serve.,0,False
818,"How do I arrange fresh flowers in a vase?
0.Take your vase and add water, then take your bouquet of flowers, one at a time, and cut the bottom of the stem at a 45 degree angle to the appropriate size for the flower to fit in the vase and then place each flower into the vase gently working from the outside in.
1.Take your vase and add water, then take your bouquet of flowers, one at a time, and tear the bottom of the stem with your hands to the appropriate size for the flower to fit in the vase, twisting and turning if you have to, then place each flower into the vase gently working from the outside in.
","0. Take your vase and add water, then take your bouquet of flowers, one at a time, and cut the bottom of the stem at a 45 degree angle to the appropriate size for the flower to fit in the vase and then place each flower into the vase gently working from the outside in.",0,True
1038,"How to make your jeans into a shirt?
0.Cut off the legs at the knee, then again at the top, making sure you don't cut the pockets .
1.Cut off the legs at the knee, then again at the top, making sure you cut the pockets .
","0. Cut off the legs at the knee, then again at the top, making sure you don't cut the pockets.",0,True
688,"piece of nylon pantyhose
0.cover face 
1.cover building 
",0,0,True
390,"How to mail a letter.
0.Take your pre-addressed envelope to the US Post Office near you, purchase a stamp, place on envelope and drop in mail chute.
1.Take your pre-addressed envelope to the US Post Office near you, purchase a stamp, drop envelope in mail chute.
",0,0,True
1763,"folder
0.can hold clothes hangers with clothes on
1.can hold paper dolls with clothes on
",1. 0 can hold clothes hangers with clothes on,1,True
1693,"how do you edit an order at a drive thru?
0.tell them the different order at the payment window after paying.
1.tell them the different order at the payment window before paying.
",0. tell them the different order at the payment window after paying.,1,False
74,"To clean your microwave without having to scrub it.
0.Fill a bowl with water and microwave it for two to three minutes. The steam will loosen any dried food particles for easy cleaning.
1.Fill a bowl with water and microwave it for two to three seconds. The steam will loosen any dried food particles for easy cleaning.
",0,0,True
1317,"shampoo
0.cleans hair from dirt
1.cleans clothes from dirt
",0,0,True
806,"To prepare a potato to roast in a campfire after you have washed it,
0.puncture the potato with a fork or knife, then take a small piece of aluminum metal and wrap it all around the potato.
1.puncture the potato with a fork or knife, then take a small piece of aluminum foil and wrap it all around the potato.
","1. puncture the potato with a fork or knife, then take a small piece of aluminum foil and wrap it all around the potato.",1,True
814,"To mount a TV on a wall.
0.Drill holes into the wall, put in mollies than screws. Connect them to the TV's mount.
1.Drill holes into the wall then put in screws. Connect them to the TV's mount.
",1. Drill holes into the wall then put in screws. Connect them to the TV's mount.,0,False
1808,"metal bar
0.keeps out dastardly cat burglars from a store
1.keeps out small birds from a store
",0,0,True
1349,"Keep Sliced Fruit From Browning
0.you can add lemon juice
1.you can add carrot juice
",0. you can add lemon juice,0,True
1239,"To create squares from a plank of wood, you can
0.Cut them to size and sand the edges
1.Cut them to size and glue the edges
",0. Cut them to size and sand the edges,0,True
123,"How to grow a plant.
0.Bury seed in sand and add 1 cup of water daily.
1.Bury seed in soil and add 1 cup of water daily.
",1. Bury seed in soil and add 1 cup of water daily.,1,True
992,"To stuff Hawaiian Burger Bacon Balls with cheese.
0.Make an indentation in the hamburger ball and add cheese.
1.Make an indentation in the outer layer of bacon and add cheese.
",0,0,True
523,"What flavoring do I need to make indian kheer?
0.You need almonds, cashews, saffron, cardamom, coconut and dishwasher detergent.
1.You need almonds, cashews, saffron, cardamom, coconut and raisins
","1. You need almonds, cashews, saffron, cardamom, coconut and raisins",1,True
1415,"under arm
0.can carry items watermelon 
1.can carry items book 
",1. can carry items book,1,True
1711,"sharpen a pencil
0.cut diagonally
1.use a knife
",1. use a knife,1,True
201,"How to roll chocolate truffles.
0.Wet the palm of your hands with some water. Using a spoon, spoon some of the mixture onto your palm and roll the mixture between your hands moving your hand in a circular motion. Once you have a nice round shape, roll it in some coconut and place it on a plate.
1.Wet the palm of your hands with some water. Using a fork, fork some of the mixture onto your palm and roll the mixture between your hands moving your hand in a circular motion. Once you have a nice round shape, roll it in some coconut and place it on a plate.
","0. Wet the palm of your hands with some water. Using a spoon, spoon some of the mixture onto your palm and roll the mixture between your hands moving your hand in a circular motion. Once you have a nice round shape, roll it in some coconut and place it on a plate.",0,True
1635,"Remove stench from baseball cap.
0.Place dryer sheets inside cap when wearing.
1.Place dryer sheets outside cap when wearing.
",0,0,True
356,"How can I fill dents and rough areas on the surface of a wooden table I am building?
0.Fill the dents with wood filler, then sand it smooth and apply varnish.
1.Fill the dents with wood glue, then sand it smooth and apply varnish.
",0,0,True
1713,"how do you type in lowercase letters on a macbook pro?
0.turn on the caps lock key on the keyboard.
1.turn off the caps lock key on the keyboard.
",1. turn off the caps lock key on the keyboard.,1,True
1490,"How do I know what to do if a service dog comes up to me without their owner?
0.The dog is trying to get help for their owner, the handicapped owner likely needs assistance and you should follow the dog to the owner to check on them.
1.The dog is trying to get away from their owner, the handicapped owner is likely abusing the creature and you need to help the animal.
",0,0,True
1098,"To make housebreaking your puppy easier,
0.cover your floor with puppy training pants, to easily clean up any accidental messes.
1.cover your floors with puppy training pads, to easily clean up any accidental messes.
",1,1,True
